Shipment_Volume_Date,Global_Shipment_Volume,Aus_Bra_Shipment_Volume,Aus_Shipment_Volume,FMG_Shipment_Volume,BHP_Shipment_Volume,Rio_Tinto_Shipment_Volume,Vale_Shipment_Volume,Bra_Shipment_Volume,Aus_to_China_Shipment_Volume,FMG_to_China_Shipment_Volume,BHP_to_China_Shipment_Volume,Rio_Tinto_to_China_Shipment_Volume,Non_Mainstream_Shipment_Volume
2020-10-16,3383.5,2796.7,2026.6,358.3,521.9,809.6,641.7,770.1,1634.8,330.8,400.3,652.3,586.8
2020-10-23,3193.6,2457.5,1721.1,355.0,559.9,493.3,532.3,736.4,1381.1,335.0,502.5,365.6,736.1
2020-10-30,3385.7,2739.8,1886.9,378.7,599.6,612.7,665.5,852.9,1579.2,314.6,498.0,507.9,645.9
2020-11-06,2780.8,2137.5,1587.2,316.9,532.2,626.1,452.7,550.3,1216.5,277.7,450.6,394.0,643.3
2020-11-13,3282.8,2588.8,1834.8,332.0,555.4,806.5,562.2,754.0,1481.6,292.2,458.2,606.9,694.0
2020-11-20,3003.0,2371.0,1667.6,306.2,500.4,587.1,569.6,703.4,1389.2,306.2,461.4,431.0,632.0
2020-11-27,3158.4,2444.6,1677.1,344.8,494.8,603.0,619.6,767.5,1373.9,305.0,380.8,522.6,713.8
2020-12-04,3129.2,2382.6,1735.0,337.5,570.0,608.6,442.2,647.6,1437.1,305.8,454.8,480.2,746.6
2020-12-11,2960.0,2271.8,1568.9,304.9,463.3,627.2,525.2,702.9,1370.3,276.0,377.6,549.3,688.2
2020-12-18,3244.9,2517.0,1830.6,353.2,527.6,705.1,547.6,686.4,1430.9,353.2,430.2,463.1,727.9
2020-12-25,3556.3,2974.7,2172.2,395.4,699.6,824.1,628.5,802.5,1853.6,378.7,599.3,673.4,581.6
2021-01-01,3407.9,2846.5,2051.2,393.8,588.8,772.8,650.4,795.3,1722.9,369.8,517.4,582.5,561.4
2021-01-08,2821.7,2284.3,1784.5,308.6,601.5,642.1,376.4,499.8,1484.6,288.8,519.8,497.8,537.4
2021-01-15,2743.7,2134.3,1534.2,311.4,489.1,553.8,549.6,600.1,1312.4,311.4,434.5,446.1,609.4
2021-01-22,2624.1,1977.2,1402.3,274.6,391.4,489.5,376.2,574.9,1195.9,254.6,391.4,353.2,646.9
2021-01-29,3175.3,2469.2,1704.7,326.5,509.8,631.5,568.7,764.5,1313.4,304.6,379.7,462.9,706.1
2021-02-05,2341.2,1814.7,1294.2,313.8,384.3,452.9,441.1,520.5,1135.6,258.4,347.3,395.7,526.5
2021-02-12,3240.0,2602.1,1958.7,386.1,632.5,639.3,482.5,643.4,1490.0,326.9,468.7,482.7,637.9
2021-02-19,2902.7,2257.9,1694.0,265.9,538.8,699.6,417.4,563.9,1454.4,265.9,459.0,550.8,644.8
2021-02-26,3213.1,2407.2,1800.0,339.0,530.8,695.5,478.5,607.2,1456.5,322.0,411.8,535.0,805.9
2021-03-05,2789.0,2207.6,1516.6,332.2,530.5,417.9,465.8,691.0,1187.1,246.6,439.2,316.8,581.4
2021-03-12,3101.5,2341.5,1789.1,273.1,584.3,685.0,428.5,552.4,1359.0,253.4,487.6,427.3,760.0
2021-03-19,2910.2,2293.9,1663.9,261.5,520.9,584.0,424.1,630.0,1346.5,261.5,427.1,434.2,616.3
2021-03-26,3516.6,2807.6,2158.4,419.7,652.3,735.7,441.4,649.2,1725.7,349.6,538.7,588.8,709.0
2021-04-02,3108.9,2404.1,1810.9,363.9,529.9,608.5,442.9,593.2,1538.2,332.8,456.6,493.0,704.8
2021-04-09,2605.9,2012.4,1454.8,340.3,584.6,289.1,427.2,557.6,1172.8,287.3,449.3,248.8,593.5
2021-04-16,3076.4,2407.7,1694.3,318.5,543.0,604.1,521.6,713.4,1351.9,298.7,462.8,449.0,668.7
2021-04-23,3237.4,2473.2,1948.0,345.1,599.5,724.3,401.2,525.2,1493.0,293.6,461.3,504.4,764.2
2021-04-30,3275.3,2451.6,1726.0,330.5,518.0,632.9,505.4,725.6,1512.0,293.5,474.2,531.1,823.7
2021-05-07,3247.7,2481.9,1935.2,388.4,577.2,696.1,414.9,546.7,1613.9,364.4,488.7,551.5,765.8
2021-05-14,2725.0,2258.3,1677.6,388.1,575.9,561.5,419.8,580.7,1425.3,343.3,518.8,423.2,466.7
2021-05-21,3332.4,2640.2,1840.5,394.4,600.9,629.5,623.3,799.7,1585.0,368.0,504.1,527.5,692.2
2021-05-28,3038.2,2372.9,1682.1,353.6,530.9,545.3,478.8,690.8,1288.4,316.2,401.8,418.8,665.3
2021-06-04,3095.3,2502.4,1687.7,373.2,597.3,449.8,633.9,814.7,1391.0,315.0,476.9,364.4,592.9
2021-06-11,3205.9,2613.5,1849.9,378.8,612.1,589.5,562.2,763.6,1550.6,378.8,533.0,419.6,592.4
2021-06-18,2986.8,2418.2,1828.8,386.4,590.8,541.4,430.9,589.4,1479.8,352.4,455.9,409.5,568.6
2021-06-25,3468.8,2772.3,1981.2,386.8,647.7,650.7,550.5,791.1,1560.3,316.2,547.9,490.7,696.5
2021-07-02,3178.6,2490.6,1810.0,347.8,603.8,616.8,589.1,680.6,1558.1,299.8,529.5,537.5,688.0
2021-07-09,3002.7,2375.9,1623.5,259.7,547.7,549.3,511.0,752.4,1277.0,259.7,453.3,366.4,626.8
2021-07-16,2935.8,2327.5,1597.8,269.5,533.4,598.9,571.0,729.7,1389.2,259.9,495.9,450.3,608.3
2021-07-23,3249.1,2487.1,1739.8,399.0,568.5,547.7,529.9,747.3,1485.9,323.4,531.6,447.3,762.0
2021-07-30,3125.7,2472.4,1690.8,386.1,522.1,570.9,588.2,781.6,1340.1,347.3,438.7,411.0,653.3
2021-08-06,3215.0,2566.6,1927.4,323.9,525.8,818.1,533.7,639.2,1494.7,314.8,373.6,635.7,648.4
2021-08-13,2857.7,2276.7,1505.2,311.0,536.3,492.7,564.4,771.5,1300.2,290.9,435.7,418.7,581.0
2021-08-20,3303.9,2619.2,1758.4,278.7,575.7,671.8,649.1,860.8,1368.0,224.4,435.7,523.3,684.7
2021-08-27,3154.2,2615.0,1847.2,397.5,538.9,618.0,624.8,767.8,1582.2,377.9,467.9,503.3,539.2
2021-09-03,3237.4,2565.5,1797.2,393.5,550.7,641.1,602.0,768.3,1532.3,326.7,473.8,519.9,671.9
2021-09-10,3178.6,2579.5,1848.4,308.5,591.5,620.9,562.8,731.1,1416.3,285.7,428.3,501.1,599.1
2021-09-17,3308.4,2688.7,1954.0,364.7,514.6,790.6,600.9,734.7,1610.8,316.1,462.0,616.5,619.7
2021-09-24,3239.9,2686.7,1927.4,361.6,585.9,701.9,604.7,759.3,1550.6,322.5,471.3,559.1,553.2
2021-10-01,3552.7,2744.2,1800.4,266.0,554.6,712.2,739.0,943.8,1565.6,233.2,482.4,595.7,808.5
2021-10-08,3003.1,2412.6,1704.3,330.5,517.2,574.1,607.1,708.3,1524.3,300.6,458.7,489.6,590.5
2021-10-15,3060.1,2353.7,1765.9,314.2,572.6,616.4,480.0,587.8,1392.4,293.6,478.5,469.0,706.4
2021-10-22,2888.0,2298.4,1602.3,352.7,487.4,491.8,512.3,696.1,1462.9,330.0,467.9,425.8,589.6
2021-10-29,3029.0,2396.3,1828.4,354.6,553.7,587.8,467.0,567.9,1370.7,299.4,416.8,415.5,632.7
2021-11-05,3062.4,2449.4,1817.5,304.4,534.3,706.1,504.8,631.9,1561.2,304.4,461.7,586.1,613.0
2021-11-12,2714.3,2155.9,1547.4,328.3,585.3,542.4,485.9,608.5,1289.5,293.2,473.4,437.6,558.4
2021-11-19,3279.7,2578.3,1819.1,424.2,479.8,731.2,646.2,759.2,1529.6,392.9,400.7,612.2,701.4
2021-11-26,3148.2,2529.5,1783.1,334.6,480.6,659.6,648.3,746.4,1417.8,261.5,424.9,518.4,618.7
2021-12-03,3466.6,2790.3,1986.2,413.8,589.8,676.4,593.8,804.1,1591.9,344.2,452.5,540.3,676.3
2021-12-10,2886.9,2252.8,1759.4,362.5,581.5,547.0,436.5,493.4,1408.3,353.2,456.7,423.6,634.1
2021-12-17,3206.4,2577.3,1903.7,327.3,576.5,706.1,496.4,673.6,1664.9,286.1,506.8,633.0,629.1
2021-12-24,3465.8,2754.4,1956.1,378.1,605.7,718.0,618.3,798.3,1537.7,318.9,496.8,532.8,711.4
2021-12-31,3466.5,2795.9,2121.7,393.3,682.5,753.7,502.3,674.2,1765.2,321.6,590.5,571.9,670.6
2022-01-07,2695.4,2235.4,1714.7,316.9,513.4,618.0,420.1,520.7,1400.6,284.7,460.3,467.3,460.0
2022-01-14,2879.2,2348.3,1786.5,363.2,591.8,570.8,476.8,561.8,1495.8,343.0,519.2,461.4,530.9
2022-01-21,2683.3,2163.8,1715.5,321.9,574.7,534.4,370.6,448.3,1441.1,281.2,524.6,459.6,519.5
2022-01-28,2886.7,2150.7,1585.8,363.6,414.3,535.1,435.5,564.9,1334.5,288.2,361.2,447.4,736.0
2022-02-04,2725.3,2117.6,1618.9,297.8,488.9,582.5,385.1,498.7,1294.6,277.5,411.6,401.3,607.7
2022-02-11,2591.1,2021.7,1457.9,344.3,504.6,450.2,420.9,563.8,1172.1,300.0,426.8,320.9,569.4
2022-02-18,2599.4,2117.8,1710.0,419.2,515.3,569.2,303.2,407.8,1418.0,370.9,452.9,431.4,481.6
2022-02-25,2971.6,2301.2,1748.4,386.4,471.8,565.5,420.3,552.8,1453.3,364.0,396.7,447.8,670.4
2022-03-04,2902.7,2244.5,1567.4,321.1,548.9,454.0,502.7,677.1,1263.5,283.1,402.7,357.1,658.2
2022-03-11,2543.7,2067.5,1640.0,272.9,502.3,559.3,288.0,427.5,1402.7,237.8,468.5,435.4,476.2
2022-03-18,2731.8,2196.1,1706.5,325.8,484.1,650.9,374.4,489.6,1334.5,273.2,371.8,523.9,535.7
2022-03-25,3170.0,2601.6,1887.2,418.1,547.9,602.7,519.5,714.4,1519.9,358.2,472.2,410.9,568.4
2022-04-01,2743.9,2227.7,1731.6,406.1,524.7,515.3,335.4,496.1,1479.0,396.2,451.8,394.4,516.2
2022-04-08,2904.9,2283.5,1731.3,299.7,553.6,591.6,420.2,552.2,1322.3,261.8,510.6,374.0,621.4
2022-04-15,3037.5,2355.0,1784.2,356.0,578.1,577.3,456.2,570.8,1522.7,346.7,504.0,424.1,682.5
2022-04-22,2967.7,2300.8,1686.3,384.4,516.8,535.3,508.1,614.5,1464.0,338.3,400.2,475.7,666.9
2022-04-29,3150.8,2591.9,1803.2,377.7,490.7,618.6,600.5,788.7,1450.7,314.9,454.1,439.1,558.9
2022-05-06,2990.4,2464.0,1830.7,363.6,453.6,782.0,518.4,633.3,1458.4,328.3,344.5,600.4,526.4
2022-05-13,2843.6,2367.4,1796.1,421.6,599.1,616.7,409.0,571.3,1491.4,356.9,540.9,459.5,476.2
2022-05-20,3006.8,2462.4,1788.0,382.1,565.8,605.6,488.1,674.4,1599.2,354.2,526.9,514.2,544.4
2022-05-27,3027.1,2477.2,1886.5,404.8,639.2,526.9,492.6,590.7,1417.2,309.9,491.7,384.6,549.9
2022-06-03,2682.9,2077.7,1350.5,359.7,492.3,317.7,572.7,727.2,1220.6,359.7,420.0,271.0,605.2
2022-06-10,3182.5,2641.8,1902.7,404.9,578.2,634.6,675.6,739.1,1606.6,384.5,462.7,524.3,540.7
2022-06-17,3095.6,2655.0,2027.3,399.0,577.2,775.9,466.4,637.7,1715.1,361.1,521.4,596.3,440.6
2022-06-24,3333.9,2860.9,2079.8,413.9,605.1,752.0,660.2,781.1,1695.8,365.2,496.5,568.2,473.0
2022-07-01,3185.3,2661.1,1869.5,369.9,592.8,635.0,625.5,791.6,1566.5,352.1,462.0,513.9,524.2
2022-07-08,2814.0,2374.3,1723.3,325.7,571.9,618.0,526.0,651.0,1389.8,276.9,482.6,505.7,439.7
2022-07-15,2984.1,2541.4,1735.7,363.0,493.8,587.3,597.5,805.7,1432.5,353.6,474.3,392.8,442.7
2022-07-22,3040.1,2519.7,1903.8,349.1,589.4,652.3,497.3,615.9,1633.1,279.8,533.4,580.7,520.4
2022-07-29,3233.8,2653.5,1750.6,427.9,519.7,558.7,665.5,902.9,1530.9,410.3,451.0,438.5,580.3
2022-08-07,3122.0,2611.4,1905.8,292.3,555.1,770.8,595.6,705.7,1568.5,267.5,463.8,613.3,510.6
2022-08-14,2849.1,2397.9,1761.5,380.5,550.7,673.9,477.5,636.4,1550.8,371.4,497.5,532.3,451.2
2022-08-21,2733.5,2338.5,1576.2,341.1,600.7,503.4,588.5,762.3,1234.3,285.6,488.1,366.3,395.0
2022-08-28,3035.5,2553.3,1762.5,389.7,543.6,495.1,626.4,790.9,1451.6,346.8,458.3,412.6,482.2
2022-09-04,3096.8,2600.0,1692.6,323.7,559.8,535.2,731.6,907.5,1473.9,278.6,523.0,398.4,496.8
2022-09-11,2858.6,2374.1,1742.1,298.8,564.3,588.5,446.9,632.0,1529.6,282.9,513.5,491.3,484.5
2022-09-18,2940.6,2541.8,1869.1,380.4,504.6,722.8,529.8,672.6,1527.4,366.0,393.0,577.0,398.8
2022-09-25,3233.0,2832.9,2033.2,429.0,545.7,751.5,549.8,799.8,1717.3,378.5,456.4,639.7,400.1
2022-10-02,3169.3,2614.0,1901.7,396.2,479.3,739.0,574.4,712.3,1608.6,340.6,445.8,551.4,555.3
2022-10-09,2797.5,2452.1,1780.5,291.3,575.3,617.6,587.3,671.6,1383.5,262.4,438.7,452.0,345.4
2022-10-16,2943.6,2471.9,1792.7,279.8,563.9,635.0,516.3,679.2,1591.1,279.8,523.4,549.8,471.7
2022-10-23,2901.0,2511.6,1817.3,373.7,505.3,632.4,525.4,694.2,1579.7,346.3,446.8,507.2,389.4
2022-10-30,3226.1,2667.5,1793.1,419.7,480.2,598.0,666.0,874.3,1629.6,419.7,445.7,492.6,558.6
2022-11-06,3103.2,2624.9,2037.7,396.7,529.4,801.2,451.8,587.2,1674.0,359.0,439.7,622.5,478.3
2022-11-13,2820.9,2358.7,1724.8,400.3,633.4,549.4,479.9,633.9,1555.1,391.2,574.5,447.8,462.2
2022-11-20,3062.9,2667.3,1889.8,437.0,558.2,678.9,595.8,777.5,1552.5,373.4,465.8,559.6,395.6
2022-11-28,2820.1,2514.8,1862.5,343.0,584.1,615.6,505.3,652.3,1626.7,318.3,507.7,540.0,305.3
2022-12-05,3180.6,2613.2,1923.0,419.4,552.2,636.1,558.4,690.3,1658.8,341.5,497.4,534.9,567.4
2022-12-12,2936.7,2426.7,1849.6,316.8,499.7,760.7,425.5,577.1,1496.8,299.2,424.1,601.2,510.0
2022-12-19,3285.7,2731.5,2025.0,404.9,566.3,783.4,481.0,706.6,1811.9,370.3,514.3,659.9,554.2
2022-12-26,3194.9,2763.8,1970.5,405.6,570.7,712.4,595.4,793.2,1622.5,369.8,512.3,531.1,431.1
2023-01-01,3247.2,2816.0,1890.7,367.6,598.9,594.1,683.7,925.3,1446.0,287.4,446.8,449.3,431.2
2023-01-08,2627.2,2267.4,1807.9,368.3,606.0,596.8,407.9,459.5,1535.8,368.3,511.6,479.8,359.8
2023-01-15,2603.7,2193.8,1778.0,362.1,576.9,636.4,415.8,415.8,1497.4,362.1,480.4,490.6,409.9
2023-01-22,2855.0,2408.5,1843.7,319.7,594.6,645.5,385.1,564.8,1571.0,257.1,541.7,505.8,446.5
2023-01-30,2573.0,2163.7,1707.1,355.9,499.6,529.5,368.4,456.6,1428.4,309.0,405.8,412.4,409.3
2023-02-06,2799.6,2454.9,1934.8,311.8,573.4,764.0,341.2,520.1,1594.0,264.9,486.6,645.2,344.7
2023-02-13,2321.9,1850.9,1272.8,293.6,397.9,420.9,451.7,578.1,1141.2,293.6,360.0,334.8,471.0
2023-02-20,2799.1,2303.2,1760.1,407.9,498.0,634.7,369.4,543.1,1539.7,371.9,464.0,512.1,495.9
2023-02-27,2889.5,2392.9,1801.3,397.6,487.9,631.6,396.8,591.6,1555.1,379.9,448.6,522.3,496.6
2023-03-06,2912.1,2461.3,1835.6,364.7,545.6,657.5,458.9,625.7,1530.9,293.1,505.5,494.0,450.8
2023-03-13,2963.5,2428.8,1711.1,365.9,471.7,617.6,504.5,717.7,1465.8,348.1,435.4,497.5,534.7
2023-03-20,2862.0,2405.5,1897.6,376.4,518.5,712.8,354.2,507.9,1548.9,324.7,423.5,540.5,456.5
2023-03-27,2891.0,2402.5,1778.5,358.3,482.8,696.5,435.9,624.0,1472.3,328.2,393.8,531.8,488.5
2023-04-02,3211.6,2661.8,1942.6,423.8,532.1,691.8,628.3,719.2,1631.0,365.4,462.3,571.4,549.8
2023-04-09,2837.2,2352.1,1831.5,384.9,567.2,610.2,327.8,520.6,1525.5,384.9,436.7,512.9,485.1
2023-04-16,2306.8,1752.8,1122.3,195.9,340.9,382.2,462.8,630.6,971.0,163.8,323.7,318.8,554.0
2023-04-23,2938.1,2397.6,1807.4,336.0,598.8,595.7,408.1,590.2,1586.2,218.2,501.1,514.0,540.5
2023-04-30,3002.1,2579.0,1876.8,379.3,546.0,613.8,519.1,702.2,1440.3,325.2,415.6,489.1,423.1
2023-05-07,2965.0,2615.4,1875.8,307.4,600.6,676.8,528.3,739.7,1553.1,287.5,517.4,514.9,349.6
2023-05-16,2887.2,2502.0,1838.2,393.0,556.0,656.4,508.1,663.9,1568.5,372.8,465.4,602.6,385.2
2023-05-22,2827.7,2327.8,1706.9,414.1,550.8,595.7,511.9,620.9,1443.7,393.8,438.0,485.2,499.9
2023-05-29,2948.4,2477.5,1694.9,393.4,480.3,457.1,530.6,782.6,1356.1,320.5,428.0,335.6,470.9
2023-06-04,3118.6,2645.1,1915.9,432.8,657.5,561.3,535.4,729.1,1471.8,376.5,590.9,412.7,473.5
2023-06-12,2914.2,2601.0,1849.9,420.8,558.4,591.1,540.9,751.1,1488.2,375.1,468.0,422.8,313.2
2023-06-19,3294.6,2862.0,2124.7,409.4,646.1,746.8,544.8,737.3,1795.0,348.8,573.9,607.2,432.6
2023-06-26,3231.0,2677.8,1817.8,387.8,573.1,608.2,668.6,860.0,1547.5,302.0,517.8,501.1,553.2
2023-07-03,3468.1,2943.9,2059.5,357.5,652.1,697.0,630.9,884.5,1732.2,329.9,576.9,559.6,524.2
2023-07-10,2802.8,2432.4,1735.1,335.1,438.9,690.4,506.5,697.4,1404.2,299.2,374.1,559.4,370.4
2023-07-17,2821.0,2449.3,1736.6,338.9,611.1,545.5,531.2,712.7,1539.4,319.6,541.0,437.8,371.7
2023-07-24,3032.4,2442.3,1645.7,299.7,528.2,592.1,620.9,796.6,1439.3,241.2,460.0,524.5,590.1
2023-07-31,3267.5,2655.7,1854.5,304.2,588.3,614.4,604.2,811.2,1448.6,248.4,515.7,469.2,611.8
2023-08-07,2832.9,2280.7,1688.1,293.4,491.8,672.8,413.4,592.7,1335.9,193.3,382.8,533.4,552.2
2023-08-14,2957.1,2579.0,1774.2,464.8,607.4,613.0,626.0,804.9,1551.3,439.2,531.9,499.0,378.1
2023-08-21,3257.0,2667.6,1839.3,375.3,508.7,657.9,578.8,828.3,1548.2,366.1,405.1,494.6,589.4
2023-08-28,3289.1,2727.0,1816.0,311.2,561.7,629.8,672.7,911.1,1521.0,253.0,508.3,539.3,562.1
2023-09-04,3361.2,2762.9,1886.9,437.9,584.9,563.2,604.9,876.0,1467.4,344.0,523.6,439.4,598.3
2023-09-11,3013.2,2519.2,1838.4,385.0,512.4,641.3,537.5,680.8,1520.3,358.0,417.8,488.1,494.0
2023-09-18,3044.3,2598.2,1798.5,318.5,543.9,701.6,634.0,799.7,1573.0,318.5,471.3,557.1,446.1
2023-09-25,2975.0,2463.3,1673.6,262.6,450.4,632.6,549.3,789.7,1368.1,232.9,450.4,484.4,511.7
2023-10-02,3497.7,2943.0,1949.4,391.1,516.0,708.2,730.1,993.6,1746.2,349.0,484.2,615.0,554.7
2023-10-09,2895.3,2371.8,1850.1,399.0,525.4,667.3,415.7,521.7,1490.7,373.7,414.4,488.7,523.5
2023-10-16,3095.4,2561.3,1846.5,450.1,579.4,524.3,574.0,714.7,1551.0,422.0,502.5,392.4,534.1
2023-10-23,3053.5,2563.2,1743.4,361.5,506.0,586.8,609.2,819.8,1490.4,311.5,415.2,550.8,490.3
2023-10-30,3144.4,2629.1,1773.2,315.6,505.2,635.9,582.6,855.9,1417.2,257.2,417.7,482.6,515.3
2023-11-05,3069.0,2551.8,1743.2,277.6,497.6,692.4,596.3,808.6,1451.1,247.2,402.4,557.7,517.2
2023-11-13,2621.6,2140.9,1655.2,399.0,579.0,536.5,349.9,485.7,1368.3,341.6,462.8,428.0,480.7
2023-11-20,3223.5,2662.5,1911.0,393.4,591.0,687.5,542.0,751.5,1580.0,331.9,538.7,536.9,561.0
